date,level,event,dd_from_peak,rolling_peak_equity,current_equity,z_score,today_dispersion,ticker,reason,exit_price,action,new_stop
2024-09-06,6.0,halt_triggered,-5.4132,100000.0,-441318.32000000007,,,,,,,
2024-09-09,6.0,halt_resumed,-5.4132,100000.0,-441318.32000000007,,,,,,,
2024-09-10,6.0,halt_triggered,-5.4255,100000.0,-442547.37,,,,,,,
2024-09-11,6.0,halt_resumed,-5.4394,100000.0,-443944.45000000007,,,,,,,
2024-09-12,6.0,halt_triggered,-5.459,100000.0,-445899.64,,,,,,,
2024-09-13,6.0,halt_resumed,-5.5155,100000.0,-451545.4,,,,,,,
2024-09-16,6.0,halt_triggered,-5.5356,100000.0,-453561.4,,,,,,,
2024-09-17,6.0,halt_resumed,-5.5356,100000.0,-453561.4,,,,,,,
2024-09-18,6.0,halt_triggered,-5.5636,100000.0,-456361.12,,,,,,,
2024-09-19,6.0,halt_resumed,-5.565,100000.0,-456496.80000000005,,,,,,,
2024-09-20,1.0,,,,,,,FDX,overnight_gap_down_13.2pct,260.775,,
2024-09-20,6.0,halt_triggered,-5.5993,100000.0,-459930.89,,,,,,,
2024-09-23,6.0,halt_resumed,-5.6048,100000.0,-460481.24,,,,,,,
2024-09-24,6.0,halt_triggered,-5.6345,100000.0,-463446.55000000005,,,,,,,
2024-09-25,1.0,,,,,,,TH,overnight_gap_down_22.5pct,7.32,,
2024-09-25,6.0,halt_resumed,-5.5808,100000.0,-458082.01,,,,,,,
2024-09-26,6.0,halt_triggered,-5.619,100000.0,-461904.23,,,,,,,
2024-09-27,6.0,halt_resumed,-5.6007,100000.0,-460070.5,,,,,,,
2024-09-30,6.0,halt_triggered,-5.5887,100000.0,-458874.98,,,,,,,
2024-10-01,6.0,halt_resumed,-5.6129,100000.0,-461291.35,,,,,,,
2024-10-02,6.0,halt_triggered,-5.6301,100000.0,-463008.08999999997,,,,,,,
2024-10-03,6.0,halt_resumed,-5.6756,100000.0,-467556.43000000005,,,,,,,
2024-10-04,6.0,halt_triggered,-5.6756,100000.0,-467556.43000000005,,,,,,,
2024-10-07,6.0,halt_resumed,-5.6618,100000.0,-466179.26,,,,,,,
2024-10-08,6.0,halt_triggered,-5.6772,100000.0,-467720.38,,,,,,,
2024-10-09,6.0,halt_resumed,-5.6505,100000.0,-465052.56000000006,,,,,,,
2024-10-10,6.0,halt_triggered,-5.6649,100000.0,-466494.69000000006,,,,,,,
2024-10-11,6.0,halt_resumed,-5.698,100000.0,-469797.0,,,,,,,
2024-10-14,6.0,halt_triggered,-5.7132,100000.0,-471323.30000000005,,,,,,,
2024-10-15,6.0,halt_resumed,-5.7334,100000.0,-473340.82999999996,,,,,,,
2024-10-16,6.0,halt_triggered,-5.7354,100000.0,-473540.47,,,,,,,
2024-10-17,6.0,halt_resumed,-5.7395,100000.0,-473952.72,,,,,,,
2024-10-18,6.0,halt_triggered,-5.7395,100000.0,-473952.72,,,,,,,
2024-10-21,6.0,halt_resumed,-5.752,100000.0,-475197.35,,,,,,,
2024-10-22,6.0,halt_triggered,-5.7643,100000.0,-476431.92000000004,,,,,,,
2024-10-23,1.0,,,,,,,LRN,overnight_gap_up_31.1pct,84.53,,
2024-10-23,6.0,halt_resumed,-5.817,100000.0,-481702.70999999996,,,,,,,
