strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
tema_dema,trailing_10pct,65,0.3231,0.5737,-2.0114,-130.741,-122.5458,23.8,0.9692,12.92,False
tema_dema,trailing_15pct,65,0.3077,0.3294,-4.6024,-299.1534,-283.2377,37.4,0.9538,12.31,False
tema_dema,r_multiple_3r,65,0.2769,1.0016,0.0073,0.4755,-88.5738,15.7,0.9846,11.12,False
tema_dema,reverse_signal,65,0.2615,0.4059,-1.8727,-121.7286,-130.4762,6.0,1.0,10.46,False
tema_dema,smc_mitigation_zone,65,0.2615,0.4059,-1.8727,-121.7286,-130.4762,6.0,1.0,10.46,False
tema_dema,mfe_lockin_trail,65,0.2615,0.4521,-1.7271,-112.2647,-125.6196,5.7,1.0,10.46,False
tema_dema,atr_trail_1x,65,0.2615,0.4059,-1.8727,-121.7286,-130.4762,6.0,1.0,10.46,False
tema_dema,atr_trail_mae_conditional,65,0.2615,0.4059,-1.8727,-121.7286,-130.4762,6.0,1.0,10.46,False
tema_dema,atr_trail_vix_conditional,65,0.2462,0.4889,-1.6792,-109.1509,-104.2932,7.8,0.9846,9.85,False
tema_dema,trailing_5pct,65,0.2154,0.5242,-1.2335,-80.1763,-90.5655,7.7,1.0,8.62,False
tema_dema,chandelier_3x,65,0.1846,0.8095,-0.5954,-38.7008,-62.6842,14.1,0.9846,7.38,False
tema_dema,break_even_at_1r,65,0.1538,0.4782,-1.6874,-109.6839,-108.3824,8.8,1.0,6.15,False
cmf_flip,breakeven_plus_trail,144,0.4097,2.8198,6.4639,930.7966,-78.8116,40.3,0.9514,46.39,True
cmf_flip,next_pivot_target,144,0.75,1.3619,0.9093,130.9334,-93.4354,9.9,0.9861,40.86,False
cmf_flip,trailing_15pct,144,0.3958,1.7515,4.7426,682.9292,-210.1601,79.6,0.9306,38.38,False
cmf_flip,earnings_blackout,144,0.5486,1.5259,3.6288,522.5534,-243.6539,94.0,0.8889,37.72,False
cmf_flip,fixed_4r_2r,144,0.4028,1.4249,2.7695,398.8107,-226.4013,35.0,0.9653,28.86,False
cmf_flip,regime_flip,144,0.5556,1.2163,1.1485,165.3853,-95.2057,28.6,1.0,28.71,False
cmf_flip,time_stop_20d,144,0.5556,1.2163,1.1485,165.3853,-95.2057,28.6,1.0,28.71,False
cmf_flip,atr_trail_2x,144,0.3472,1.4108,1.8968,273.136,-114.0352,23.1,0.9861,26.21,False
cmf_flip,hybrid_50pct_target,144,0.6181,0.968,-0.3285,-47.3046,-621.3349,76.5,0.9236,24.72,False
cmf_flip,time_stop_10d,144,0.5,0.7497,-1.1057,-159.2169,-169.0382,14.4,1.0,20.0,False
cmf_flip,class_time_stop,144,0.4792,0.9108,-0.3081,-44.3613,-105.9177,9.8,1.0,19.17,False
cmf_flip,trailing_10pct,144,0.3403,1.087,0.4069,58.5969,-139.0269,37.2,0.9583,16.22,False
cmf_flip,ma_exit_ema9,144,0.3889,0.7277,-0.4981,-71.7217,-104.3219,3.5,0.9931,15.56,False
cmf_flip,multi_tier_partial,144,0.3611,0.4992,-1.4436,-207.8742,-217.1778,6.3,1.0,14.44,False
cmf_flip,r_multiple_2r,144,0.3125,0.8672,-0.5312,-76.4862,-159.8968,10.2,0.9931,12.5,False
cmf_flip,chandelier_3x,144,0.1042,1.2264,0.4199,60.4588,-74.1277,7.6,0.9861,10.96,False
cmf_flip,atr_trail_vix_conditional,144,0.2569,0.6268,-1.25,-179.9963,-238.0961,9.7,0.9931,10.28,False
cmf_flip,r_multiple_3r,144,0.2569,0.9694,-0.1304,-18.7789,-166.8867,14.4,0.9792,10.28,False
cmf_flip,smc_mitigation_zone,144,0.2361,0.3969,-1.8255,-262.868,-261.5715,6.7,1.0,9.44,False
cmf_flip,mfe_lockin_trail,144,0.2361,0.4222,-1.7488,-251.8287,-255.1524,6.4,1.0,9.44,False
cmf_flip,reverse_signal,144,0.2361,0.3969,-1.8255,-262.868,-261.5715,6.7,1.0,9.44,False
cmf_flip,atr_trail_1x,144,0.2361,0.3969,-1.8255,-262.868,-261.5715,6.7,1.0,9.44,False
cmf_flip,atr_trail_mae_conditional,144,0.2361,0.3969,-1.8255,-262.868,-261.5715,6.7,1.0,9.44,False
