strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
hull_rsi,time_stop_20d,no,6,0.8333333333333334,6.758483333333333,40.5509
hull_rsi,trailing_10pct,no,6,0.3333333333333333,3.6729999999999996,22.037999999999997
hull_rsi,trailing_15pct,no,6,0.3333333333333333,1.24355,7.4613
hull_rsi,trailing_5pct,no,6,0.16666666666666666,-2.0322333333333336,-12.1934
ichimoku_cloud_breakout,atr_trail_1x,no,8,0.25,-2.717675,-21.7414
ichimoku_cloud_breakout,atr_trail_2x,no,8,0.125,-8.10415,-64.8332
ichimoku_cloud_breakout,break_even_at_1r,no,8,0.375,-2.1461625,-17.1693
ichimoku_cloud_breakout,breakeven_plus_trail,no,8,0.5,-2.2874249999999994,-18.299399999999995
ichimoku_cloud_breakout,class_time_stop,no,8,0.375,-10.2254,-81.8032
ichimoku_cloud_breakout,earnings_blackout,no,8,0.375,43.707950000000004,349.66360000000003
ichimoku_cloud_breakout,fixed_4r_2r,no,8,0.375,4.4568125,35.6545
ichimoku_cloud_breakout,hybrid_50pct_target,no,8,0.25,-3.2447624999999998,-25.958099999999998
ichimoku_cloud_breakout,ma_exit_ema9,no,8,0.625,1.4922000000000002,11.937600000000002
ichimoku_cloud_breakout,next_pivot_target,no,8,0.375,-0.004587499999999967,-0.03669999999999973
ichimoku_cloud_breakout,r_multiple_2r,no,8,0.25,-0.88315,-7.0652
ichimoku_cloud_breakout,r_multiple_3r,no,8,0.125,-5.618175,-44.9454
ichimoku_cloud_breakout,regime_flip,no,8,0.375,-11.1296625,-89.0373
ichimoku_cloud_breakout,time_stop_10d,no,8,0.125,-6.1595875,-49.2767
ichimoku_cloud_breakout,time_stop_20d,no,8,0.375,-11.1296625,-89.0373
ichimoku_cloud_breakout,trailing_10pct,no,8,0.25,-5.0152,-40.1216
ichimoku_cloud_breakout,trailing_15pct,no,8,0.375,-1.18835,-9.5068
ichimoku_cloud_breakout,trailing_5pct,no,8,0.0,-2.45205,-19.6164
pivot_r1_breakout,atr_trail_1x,no,121,0.18181818181818182,-1.6112719008264462,-194.9639
pivot_r1_breakout,atr_trail_2x,no,121,0.38016528925619836,-0.6699099173553719,-81.0591
pivot_r1_breakout,break_even_at_1r,no,121,0.0743801652892562,-0.6326132231404958,-76.5462
pivot_r1_breakout,breakeven_plus_trail,no,121,0.32231404958677684,3.7465380165289255,453.3311
