strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
ultimate_oscillator,trailing_15pct,10,0.1,0.4962,-4.7314,-47.3135,-56.6475,67.4,4.0,False
ultimate_oscillator,break_even_at_1r,10,0.0,0.0,-4.2013,-42.0126,-41.6102,8.2,0.0,False
pivot_r2_continuation,earnings_blackout,21,0.5238,1.7386,10.7338,225.4097,-115.7796,639.9,43.11,True
pivot_r2_continuation,time_stop_10d,21,0.4286,0.2289,-4.308,-90.467,-86.0816,14.2,17.14,False
pivot_r2_continuation,regime_flip,21,0.381,0.3098,-7.0414,-147.8693,-169.9155,27.9,15.24,False
pivot_r2_continuation,next_pivot_target,21,0.381,0.2395,-4.465,-93.7648,-93.0916,17.0,15.24,False
pivot_r2_continuation,time_stop_20d,21,0.381,0.3098,-7.0414,-147.8693,-169.9155,27.9,15.24,False
pivot_r2_continuation,hybrid_50pct_target,21,0.3333,0.3645,-7.3819,-155.0199,-107.6767,179.2,13.33,False
pivot_r2_continuation,breakeven_plus_trail,21,0.2857,0.4998,-1.7703,-37.1763,-37.4997,29.2,11.43,False
pivot_r2_continuation,atr_trail_2x,21,0.2857,0.1155,-4.2385,-89.0085,-88.3353,13.4,11.43,False
pivot_r2_continuation,r_multiple_2r,21,0.2381,0.5521,-1.4199,-29.8188,-35.8226,6.1,9.52,False
pivot_r2_continuation,trailing_10pct,21,0.2381,0.5786,-2.7004,-56.709,-100.8269,46.7,9.52,False
pivot_r2_continuation,ma_exit_ema9,21,0.2381,0.2171,-2.8009,-58.8193,-57.8628,9.1,9.52,False
pivot_r2_continuation,class_time_stop,21,0.2381,0.2206,-8.3166,-174.6495,-179.237,34.7,9.52,False
pivot_r2_continuation,trailing_15pct,21,0.2381,0.456,-5.2846,-110.9772,-163.0354,85.4,9.52,False
pivot_r2_continuation,r_multiple_3r,21,0.1905,0.3787,-2.2075,-46.3579,-48.6306,7.5,7.62,False
pivot_r2_continuation,atr_trail_1x,21,0.1905,0.0809,-2.5781,-54.1392,-51.933,4.0,7.62,False
pivot_r2_continuation,trailing_5pct,21,0.1429,0.1654,-2.8911,-60.7123,-55.5316,15.2,5.72,False
pivot_r2_continuation,fixed_4r_2r,21,0.1429,0.195,-5.6936,-119.5653,-118.8921,21.9,5.72,False
pivot_r2_continuation,break_even_at_1r,21,0.1429,0.2698,-1.8975,-39.8482,-42.1209,13.0,5.72,False
williams_r_oversold,next_pivot_target,16,0.8125,3.0799,3.8998,62.3972,-10.0,11.0,77.5,True
williams_r_oversold,hybrid_50pct_target,16,0.75,4.841,9.6026,153.6412,-26.2455,60.5,60.0,False
williams_r_oversold,earnings_blackout,16,0.5625,2.9404,19.4729,311.5668,-61.2663,437.0,52.5,False
williams_r_oversold,trailing_15pct,16,0.5625,2.5761,4.8549,77.6784,-34.5729,75.3,52.5,False
williams_r_oversold,fixed_4r_2r,16,0.5625,3.2117,9.8576,157.7212,-38.2969,41.4,52.5,False
williams_r_oversold,time_stop_10d,16,0.625,1.8586,2.6748,42.7968,-33.4555,14.1,50.76,False
williams_r_oversold,trailing_10pct,16,0.5,2.121,3.1274,50.0385,-41.3788,48.9,50.0,False
williams_r_oversold,breakeven_plus_trail,16,0.4375,2.4886,4.7068,75.3088,-46.636,37.4,47.5,False
williams_r_oversold,r_multiple_3r,16,0.375,2.6342,5.3058,84.8935,-30.2587,20.6,45.0,False
williams_r_oversold,class_time_stop,16,0.625,1.5825,2.8297,45.2756,-58.9469,34.2,42.47,False
williams_r_oversold,r_multiple_2r,16,0.375,1.5332,1.7311,27.6972,-30.2587,17.9,31.0,False
williams_r_oversold,atr_trail_2x,16,0.4375,1.4031,1.452,23.2326,-52.4355,20.8,29.59,False
williams_r_oversold,ma_exit_ema9,16,0.375,0.9351,-0.0713,-1.1408,-14.4066,1.7,23.39,False
