strategy,exit_method,mae_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
ultimate_oscillator,atr_trail_1x,q4_ge_10pct,9,0.2222222222222222,-1.331711111111111,-11.9854
ultimate_oscillator,atr_trail_2x,q1_lt_2pct,2,0.0,-2.8089,-5.6178
ultimate_oscillator,atr_trail_2x,q4_ge_10pct,9,0.2222222222222222,-2.1634111111111114,-19.4707
ultimate_oscillator,atr_trail_mae_conditional,q1_lt_2pct,2,0.5,-0.6489,-1.2978
ultimate_oscillator,atr_trail_mae_conditional,q4_ge_10pct,9,0.2222222222222222,-1.331711111111111,-11.9854
ultimate_oscillator,atr_trail_vix_conditional,q1_lt_2pct,2,0.5,-1.5867,-3.1734
ultimate_oscillator,atr_trail_vix_conditional,q4_ge_10pct,9,0.3333333333333333,-0.5592222222222222,-5.0329999999999995
ultimate_oscillator,break_even_at_1r,q1_lt_2pct,2,0.0,-1.16365,-2.3273
ultimate_oscillator,break_even_at_1r,q4_ge_10pct,9,0.1111111111111111,-0.9711111111111111,-8.74
ultimate_oscillator,breakeven_plus_trail,q1_lt_2pct,2,0.0,-2.3273,-4.6546
ultimate_oscillator,breakeven_plus_trail,q4_ge_10pct,9,0.4444444444444444,2.9543222222222223,26.588900000000002
ultimate_oscillator,chandelier_3x,q1_lt_2pct,2,0.0,-0.13345,-0.2669
ultimate_oscillator,chandelier_3x,q4_ge_10pct,9,0.0,-0.21463333333333334,-1.9317
ultimate_oscillator,class_time_stop,q1_lt_2pct,2,0.5,-4.7453,-9.4906
ultimate_oscillator,class_time_stop,q4_ge_10pct,9,0.5555555555555556,-0.2415555555555555,-2.1739999999999995
ultimate_oscillator,earnings_blackout,q1_lt_2pct,2,1.0,30.4527,60.9054
ultimate_oscillator,earnings_blackout,q4_ge_10pct,9,0.7777777777777778,45.11247777777778,406.0123
ultimate_oscillator,fixed_4r_2r,q1_lt_2pct,2,0.0,-5.146000000000001,-10.292000000000002
ultimate_oscillator,fixed_4r_2r,q4_ge_10pct,9,0.2222222222222222,-3.1000666666666663,-27.900599999999997
ultimate_oscillator,hybrid_50pct_target,q1_lt_2pct,2,0.5,1.7094500000000004,3.4189000000000007
ultimate_oscillator,hybrid_50pct_target,q4_ge_10pct,9,0.4444444444444444,-1.0563888888888888,-9.5075
ultimate_oscillator,ma_exit_ema9,q1_lt_2pct,2,0.0,-2.13495,-4.2699
ultimate_oscillator,ma_exit_ema9,q4_ge_10pct,9,0.4444444444444444,-0.7035555555555556,-6.332000000000001
ultimate_oscillator,mfe_lockin_trail,q1_lt_2pct,2,0.5,-0.6489,-1.2978
ultimate_oscillator,mfe_lockin_trail,q4_ge_10pct,9,0.2222222222222222,-1.2114888888888888,-10.9034
ultimate_oscillator,multi_tier_partial,q1_lt_2pct,2,0.5,-0.3507000000000001,-0.7014000000000002
ultimate_oscillator,multi_tier_partial,q4_ge_10pct,9,0.4444444444444444,-0.6718777777777778,-6.0469
ultimate_oscillator,next_pivot_target,q1_lt_2pct,2,0.5,3.5162000000000004,7.032400000000001
