strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
ppo_crossover,chandelier_3x,yes,66,0.09090909090909091,-0.06456212121212121,-4.2611
ppo_crossover,class_time_stop,yes,66,0.5303030303030303,-1.0594500000000004,-69.92370000000003
ppo_crossover,earnings_blackout,yes,66,0.4696969696969697,-5.265410606060605,-347.51709999999997
ppo_crossover,fixed_4r_2r,yes,66,0.3484848484848485,-1.981301515151515,-130.7659
ppo_crossover,hybrid_50pct_target,yes,66,0.5303030303030303,-13.934601515151515,-919.6837
ppo_crossover,ma_exit_ema9,yes,66,0.21212121212121213,-0.38205909090909085,-25.215899999999994
ppo_crossover,mfe_lockin_trail,yes,66,0.25757575757575757,-2.2679393939393937,-149.684
ppo_crossover,multi_tier_partial,yes,66,0.3939393939393939,-1.3394060606060607,-88.4008
ppo_crossover,next_pivot_target,yes,66,0.6666666666666666,-1.5858848484848487,-104.6684
ppo_crossover,r_multiple_2r,yes,66,0.30303030303030304,-2.197778787878788,-145.0534
ppo_crossover,r_multiple_3r,yes,66,0.25757575757575757,-1.6664469696969697,-109.9855
ppo_crossover,regime_flip,yes,66,0.48484848484848486,-2.1129848484848486,-139.457
ppo_crossover,reverse_signal,yes,66,0.25757575757575757,-2.26364696969697,-149.4007
ppo_crossover,smc_mitigation_zone,yes,66,0.25757575757575757,-2.26364696969697,-149.4007
ppo_crossover,time_stop_10d,yes,66,0.48484848484848486,-0.7867212121212122,-51.9236
ppo_crossover,time_stop_20d,yes,66,0.48484848484848486,-2.1129848484848486,-139.457
ppo_crossover,trailing_10pct,yes,66,0.3181818181818182,-0.6858954545454545,-45.2691
ppo_crossover,trailing_15pct,yes,66,0.2727272727272727,-2.167598484848485,-143.0615
ppo_crossover,trailing_5pct,yes,66,0.30303030303030304,-0.5311121212121213,-35.0534
pre_fomc_long_sleeve,atr_trail_1x,yes,49,0.14285714285714285,-4.01289387755102,-196.6318
pre_fomc_long_sleeve,atr_trail_2x,yes,49,0.2857142857142857,-2.465104081632653,-120.7901
pre_fomc_long_sleeve,atr_trail_mae_conditional,yes,49,0.14285714285714285,-4.01289387755102,-196.6318
pre_fomc_long_sleeve,atr_trail_vix_conditional,yes,49,0.08163265306122448,-4.410085714285715,-216.0942
pre_fomc_long_sleeve,break_even_at_1r,yes,49,0.061224489795918366,-3.8611285714285715,-189.1953
pre_fomc_long_sleeve,breakeven_plus_trail,yes,49,0.3673469387755102,4.011132653061225,196.5455
pre_fomc_long_sleeve,chandelier_3x,yes,49,0.1836734693877551,1.7240571428571427,84.47879999999999
pre_fomc_long_sleeve,class_time_stop,yes,49,0.5510204081632653,7.434177551020409,364.27470000000005
pre_fomc_long_sleeve,earnings_blackout,yes,49,0.4897959183673469,8.557516326530612,419.3183
pre_fomc_long_sleeve,fixed_4r_2r,yes,49,0.40816326530612246,0.7360591836734696,36.06690000000001
