ticker,date,strategy,scaler,multiplier
IFF,2024-07-26,cpr_narrow_bullish,portfolio_vol_target,1.5
IFF,2024-07-26,cpr_narrow_bullish,per_position_vol_target,0.622
BDX,2024-07-26,cpr_narrow_bullish,dd_band,0.8
BDX,2024-07-26,cpr_narrow_bullish,portfolio_vol_target,1.5
BDX,2024-07-26,cpr_narrow_bullish,per_position_vol_target,0.6038
BAM,2024-07-26,cpr_narrow_bullish,dd_band,0.8
BAM,2024-07-26,cpr_narrow_bullish,portfolio_vol_target,1.5
BAM,2024-07-26,cpr_narrow_bullish,per_position_vol_target,0.5802
RKLB,2024-09-27,orb_stocks_in_play_long,dd_band,0.8
RKLB,2024-09-27,orb_stocks_in_play_long,portfolio_vol_target,1.5
RKLB,2024-09-27,orb_stocks_in_play_long,per_position_vol_target,0.25
AOS,2024-09-27,pivot_r1_breakout,dd_band,0.8
AOS,2024-09-27,pivot_r1_breakout,portfolio_vol_target,1.5
AOS,2024-09-27,pivot_r1_breakout,per_position_vol_target,0.5965
JCI,2024-09-27,cpr_narrow_bullish,dd_band,0.8
JCI,2024-09-27,cpr_narrow_bullish,portfolio_vol_target,1.5
JCI,2024-09-27,cpr_narrow_bullish,per_position_vol_target,0.687
GNRC,2024-09-27,cpr_narrow_bullish,dd_band,0.8
GNRC,2024-09-27,cpr_narrow_bullish,portfolio_vol_target,1.5
GNRC,2024-09-27,cpr_narrow_bullish,per_position_vol_target,0.4147
CSX,2024-09-27,cpr_narrow_bullish,dd_band,0.8
CSX,2024-09-27,cpr_narrow_bullish,portfolio_vol_target,1.5
CSX,2024-09-27,cpr_narrow_bullish,per_position_vol_target,0.6007
BAM,2024-09-27,ichimoku_cloud_breakout,dd_band,0.8
BAM,2024-09-27,ichimoku_cloud_breakout,portfolio_vol_target,1.5
BAM,2024-09-27,ichimoku_cloud_breakout,per_position_vol_target,0.6143
FLR,2024-09-27,cpr_narrow_bullish,dd_band,0.8
FLR,2024-09-27,cpr_narrow_bullish,portfolio_vol_target,1.5
FLR,2024-09-27,cpr_narrow_bullish,per_position_vol_target,0.4752
BHVN,2024-09-27,cpr_narrow_bullish,dd_band,0.8
BHVN,2024-09-27,cpr_narrow_bullish,portfolio_vol_target,1.5
BHVN,2024-09-27,cpr_narrow_bullish,per_position_vol_target,0.2597
RKLB,2024-11-29,cpr_narrow_bullish,portfolio_vol_target,1.5
RKLB,2024-11-29,cpr_narrow_bullish,per_position_vol_target,0.25
VFS,2024-11-29,cpr_narrow_bullish,portfolio_vol_target,1.5
VFS,2024-11-29,cpr_narrow_bullish,per_position_vol_target,0.2784
RF,2024-11-29,prev_day_low_bounce,portfolio_vol_target,1.5
RF,2024-11-29,prev_day_low_bounce,per_position_vol_target,0.6404
BAC,2024-11-29,ichimoku_cloud_breakout,portfolio_vol_target,1.5
BAC,2024-11-29,ichimoku_cloud_breakout,per_position_vol_target,0.7389
HBAN,2024-11-29,ichimoku_cloud_breakout,portfolio_vol_target,1.5
HBAN,2024-11-29,ichimoku_cloud_breakout,per_position_vol_target,0.6012
UUUU,2024-11-29,macd_crossover,portfolio_vol_target,1.5
UUUU,2024-11-29,macd_crossover,per_position_vol_target,0.25
REZI,2024-11-29,ichimoku_cloud_breakout,portfolio_vol_target,1.5
REZI,2024-11-29,ichimoku_cloud_breakout,per_position_vol_target,0.4529
XLE,2024-12-16,avwap_50_reclaim,dd_band,0.8
XLE,2024-12-16,avwap_50_reclaim,portfolio_vol_target,1.5
XLE,2024-12-16,avwap_50_reclaim,per_position_vol_target,0.79
HOLX,2024-12-16,williams_stoch_dual,dd_band,0.8
HOLX,2024-12-16,williams_stoch_dual,portfolio_vol_target,1.5
HOLX,2024-12-16,williams_stoch_dual,per_position_vol_target,0.5251
GNRC,2024-12-16,ultimate_oscillator,dd_band,0.8
GNRC,2024-12-16,ultimate_oscillator,portfolio_vol_target,1.5
GNRC,2024-12-16,ultimate_oscillator,per_position_vol_target,0.4192
PSX,2024-12-16,avwap_50_reclaim,dd_band,0.8
PSX,2024-12-16,avwap_50_reclaim,portfolio_vol_target,1.5
PSX,2024-12-16,avwap_50_reclaim,per_position_vol_target,0.4377
LCID,2024-12-16,cpr_narrow_bullish,dd_band,0.8
LCID,2024-12-16,cpr_narrow_bullish,portfolio_vol_target,1.5
LCID,2024-12-16,cpr_narrow_bullish,per_position_vol_target,0.25
AWK,2024-12-16,williams_stoch_dual,dd_band,0.8
AWK,2024-12-16,williams_stoch_dual,portfolio_vol_target,1.5
AWK,2024-12-16,williams_stoch_dual,per_position_vol_target,0.6864
HOLX,2025-02-17,williams_stoch_dual,dd_band,0.8
HOLX,2025-02-17,williams_stoch_dual,portfolio_vol_target,1.5
HOLX,2025-02-17,williams_stoch_dual,per_position_vol_target,0.4469
MNMD,2025-02-17,orb_stocks_in_play_long,dd_band,0.8
MNMD,2025-02-17,orb_stocks_in_play_long,portfolio_vol_target,1.5
MNMD,2025-02-17,orb_stocks_in_play_long,per_position_vol_target,0.25
BDX,2025-02-17,williams_stoch_dual,dd_band,0.8
BDX,2025-02-17,williams_stoch_dual,portfolio_vol_target,1.5
BDX,2025-02-17,williams_stoch_dual,per_position_vol_target,0.5733
CCEP,2025-02-17,pivot_r1_breakout,dd_band,0.8
CCEP,2025-02-17,pivot_r1_breakout,portfolio_vol_target,1.5
CCEP,2025-02-17,pivot_r1_breakout,per_position_vol_target,0.7799
CSX,2025-02-17,cpr_narrow_bullish,dd_band,0.8
CSX,2025-02-17,cpr_narrow_bullish,portfolio_vol_target,1.5
CSX,2025-02-17,cpr_narrow_bullish,per_position_vol_target,0.7172
JCI,2025-02-17,cpr_narrow_bullish,dd_band,0.8
JCI,2025-02-17,cpr_narrow_bullish,portfolio_vol_target,1.5
JCI,2025-02-17,cpr_narrow_bullish,per_position_vol_target,0.523
FLR,2025-02-17,avwap_50_reclaim,dd_band,0.8
FLR,2025-02-17,avwap_50_reclaim,portfolio_vol_target,1.5
FLR,2025-02-17,avwap_50_reclaim,per_position_vol_target,0.2721
IDYA,2025-02-17,avwap_252_breakout,dd_band,0.8
IDYA,2025-02-17,avwap_252_breakout,portfolio_vol_target,1.5
IDYA,2025-02-17,avwap_252_breakout,per_position_vol_target,0.25
COGT,2025-04-07,avwap_50_reclaim,dd_band,0.8
COGT,2025-04-07,avwap_50_reclaim,portfolio_vol_target,1.5
COGT,2025-04-07,avwap_50_reclaim,per_position_vol_target,0.25
VET,2025-04-07,cmf_flip,dd_band,0.8
VET,2025-04-07,cmf_flip,portfolio_vol_target,1.5
VET,2025-04-07,cmf_flip,per_position_vol_target,0.25
BHVN,2025-04-07,avwap_50_reclaim,dd_band,0.8
BHVN,2025-04-07,avwap_50_reclaim,portfolio_vol_target,1.5
BHVN,2025-04-07,avwap_50_reclaim,per_position_vol_target,0.25
NVDA,2025-04-07,camarilla_r3_breakout,dd_band,0.8
NVDA,2025-04-07,camarilla_r3_breakout,portfolio_vol_target,1.5
NVDA,2025-04-07,camarilla_r3_breakout,per_position_vol_target,0.25
IFF,2025-04-07,williams_stoch_dual,dd_band,0.8
IFF,2025-04-07,williams_stoch_dual,portfolio_vol_target,1.5
IFF,2025-04-07,williams_stoch_dual,per_position_vol_target,0.4289
CSX,2025-04-07,avwap_50_reclaim,dd_band,0.8
CSX,2025-04-07,avwap_50_reclaim,portfolio_vol_target,1.5
CSX,2025-04-07,avwap_50_reclaim,per_position_vol_target,0.4301
AOS,2025-04-07,williams_stoch_dual,dd_band,0.8
AOS,2025-04-07,williams_stoch_dual,portfolio_vol_target,1.5
AOS,2025-04-07,williams_stoch_dual,per_position_vol_target,0.4649
FOX,2025-04-07,williams_r_oversold,dd_band,0.8
FOX,2025-04-07,williams_r_oversold,portfolio_vol_target,1.5
FOX,2025-04-07,williams_r_oversold,per_position_vol_target,0.3291
RF,2025-04-07,avwap_50_reclaim,dd_band,0.8
RF,2025-04-07,avwap_50_reclaim,portfolio_vol_target,1.5
RF,2025-04-07,avwap_50_reclaim,per_position_vol_target,0.272
XLE,2025-04-07,avwap_50_reclaim,dd_band,0.8
XLE,2025-04-07,avwap_50_reclaim,portfolio_vol_target,1.5
XLE,2025-04-07,avwap_50_reclaim,per_position_vol_target,0.3501
RKLB,2025-06-09,cpr_narrow_bullish,dd_band,0.8
