date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,action,new_stop
2024-05-10,halt_resumed,,,6.0,-0.5267,100000.0,47328.95,,,,,
2024-05-13,halt_triggered,,,6.0,-0.5368,100000.0,46321.75,,,,,
2024-07-15,halt_triggered,,,6.0,-0.5437,100000.0,45632.81,,,,,
2024-09-16,halt_triggered,,,6.0,-0.5566,100000.0,44337.36,,,,,
2024-11-18,halt_triggered,,,6.0,-0.5846,100000.0,41544.88,,,,,
2024-12-18,halt_resumed,,,6.0,-0.4863,100000.0,51373.54,,,,,
2024-12-19,halt_triggered,,,6.0,-0.4863,100000.0,51373.54,,,,,
2025-01-10,halt_resumed,,,6.0,-0.4452,100000.0,55480.71,,,,,
2025-01-13,halt_triggered,,,6.0,-0.4453,100000.0,55472.71,,,,,
2025-03-17,halt_triggered,,,6.0,-0.4453,100000.0,55472.71,,,,,
2025-04-04,,,,5.0,,,,AFL,vix_crisis_45.3,,tighten_stop,109.497
2025-04-04,,,,5.0,,,,K,vix_crisis_45.3,,tighten_stop,78.755
2025-04-04,,,,5.0,,,,LNT,vix_crisis_45.3,,tighten_stop,62.738
2025-04-04,halt_resumed,,,6.0,-0.3921,100000.0,60793.39,,,,,
2025-04-07,,,,5.0,,,,K,vix_crisis_47.0,,tighten_stop,78.755
2025-04-07,halt_triggered,,,6.0,-0.3921,100000.0,60793.39,,,,,
2025-04-08,,,,5.0,,,,K,vix_crisis_52.3,,tighten_stop,78.755
2025-04-10,,,,5.0,,,,K,vix_crisis_40.7,,tighten_stop,78.755
2025-06-09,halt_triggered,,,6.0,-0.3921,100000.0,60793.39,,,,,
2025-06-18,halt_resumed,,,6.0,-0.3753,100000.0,62465.46,,,,,
2025-06-20,halt_triggered,,,6.0,-0.3753,100000.0,62465.46,,,,,
2025-08-20,halt_triggered,,,6.0,-0.3753,100000.0,62465.46,,,,,
2025-09-25,halt_resumed,,,6.0,-0.348,100000.0,65198.81,,,,,
2025-09-26,halt_triggered,,,6.0,-0.348,100000.0,65198.81,,,,,
2025-10-30,halt_resumed,,,6.0,-0.3302,100000.0,66979.76999999999,,,,,
2025-10-31,halt_triggered,,,6.0,-0.3302,100000.0,66979.76999999999,,,,,
2025-12-10,halt_resumed,,,6.0,-0.31,100000.0,68998.56,,,,,
2025-12-11,halt_triggered,,,6.0,-0.31,100000.0,68998.56,,,,,
2026-01-29,halt_resumed,,,6.0,-0.2848,100000.0,71516.27,,,,,
2026-01-30,halt_triggered,,,6.0,-0.2949,100000.0,70509.06,,,,,
2026-03-03,halt_resumed,,,6.0,-0.2602,100000.0,73982.89,,,,,
2026-03-04,halt_triggered,,,6.0,-0.2602,100000.0,73982.89,,,,,
2022-05-09,dispersion_cb_triggered_dec128,3.2802,0.044893,,,,,,,,,
2022-06-09,dispersion_cb_triggered_dec128,5.1078,0.071069,,,,,,,,,
2022-08-04,dispersion_cb_triggered_dec128,4.5412,0.053065,,,,,,,,,
2022-09-13,dispersion_cb_triggered_dec128,6.2624,0.068122,,,,,,,,,
2022-11-03,dispersion_cb_triggered_dec128,5.3742,0.056064,,,,,,,,,
2022-11-10,,,,1.0,,,,VERI,overnight_gap_up_13.8pct,6.12,,
2022-12-15,halt_triggered,,,6.0,-0.2002,101328.74,81039.3,,,,,
2023-02-14,halt_triggered,,,6.0,-0.2295,101328.74,78071.07,,,,,
2023-04-18,halt_triggered,,,6.0,-0.2891,101328.74,72030.01,,,,,
2023-06-21,halt_triggered,,,6.0,-0.3302,101328.74,67870.51,,,,,
2023-07-10,halt_resumed,,,6.0,-0.3101,101328.74,69904.19,,,,,
2023-07-11,halt_triggered,,,6.0,-0.3101,101328.74,69904.19,,,,,
2023-09-12,halt_triggered,,,6.0,-0.3342,101328.74,67461.3,,,,,
