strategy,exit_reason,is_n,is_wr_pct,is_mean_pct,is_sum_pp,oos_n,oos_wr_pct,oos_mean_pct,oos_sum_pp
xs_combined_momentum_low_ivol,end_of_backtest,3.0,66.67,-0.27,-0.8,1.0,100.0,0.46,0.46
xs_combined_momentum_low_ivol,time_stop_20d_mfe<0.5pct_batch213,3.0,0.0,-2.99,-8.98,0.0,0.0,0.0,0.0
xs_combined_momentum_low_ivol,trailing_stop,25.0,16.0,-1.45,-36.34,3.0,33.33,-2.99,-8.97
xs_low_beta_long,circuit_breaker_1,6.0,16.67,-8.08,-48.51,2.0,0.0,-9.45,-18.9
xs_low_beta_long,end_of_backtest,5.0,100.0,4.8,24.02,30.0,86.67,10.64,319.13
xs_low_beta_long,time_stop_20d_mfe<0.5pct_batch213,19.0,0.0,-4.95,-93.98,19.0,0.0,-4.54,-86.28
xs_low_beta_long,trailing_stop,142.0,36.62,3.73,529.46,121.0,29.75,-2.07,-250.03
xs_momentum_bottom_decile_short,circuit_breaker_1,9.0,22.22,-5.25,-47.28,0.0,0.0,0.0,0.0
xs_momentum_bottom_decile_short,end_of_backtest,1.0,0.0,-205.13,-205.13,0.0,0.0,0.0,0.0
xs_momentum_bottom_decile_short,trailing_stop,266.0,26.32,-4.87,-1294.49,48.0,12.5,-6.43,-308.76
xs_momentum_top_decile,class_time_stop_factor_20d_batch284,64.0,59.38,1.84,117.79,28.0,67.86,4.62,129.49
xs_momentum_top_decile,end_of_backtest,0.0,0.0,0.0,0.0,2.0,0.0,-2.88,-5.77
xs_momentum_top_decile,trailing_stop,17.0,0.0,-9.83,-167.17,14.0,7.14,-8.14,-113.97
