s,cur,cur_exp,bpt_exp,best,best_exp,n
htf_aligned_breakout_short,trailing_stop,,-0.6920643518518518,breakeven_plus_trail,-0.6920643518518518,216
hull_rsi,next_pivot_target,-0.2873736842105262,1.0878380804953562,breakeven_plus_trail,1.0878380804953562,323
ichimoku_cloud_breakdown,trailing_stop,,0.5653485714285714,breakeven_plus_trail,0.5653485714285714,35
ichimoku_cloud_breakout,trailing_stop,,2.6806294478527604,breakeven_plus_trail,2.6806294478527604,163
ichimoku_tk_cross,trailing_stop,,-0.18033921568627445,breakeven_plus_trail,-0.18033921568627445,306
inside_bar_breakout,trailing_stop,,1.7619254545454546,earnings_blackout,1.9240454545454546,220
insider_cluster_concentrated_sell_short,trailing_stop,,0.1419840000000001,breakeven_plus_trail,0.1419840000000001,75
institutional_breakout_confirmation_long,trailing_stop,,5.3384,breakeven_plus_trail,5.3384,140
institutional_buy_momentum_long,earnings_blackout,2.3513937931034485,2.9703512068965514,breakeven_plus_trail,2.9703512068965514,580
institutional_cluster_long,earnings_blackout,5.851825671140939,4.168919127516778,earnings_blackout,5.851825671140939,596
institutional_committed_growth_long,trailing_stop,,4.250207507507508,earnings_blackout,6.5639363363363366,666
institutional_high_conviction_long,trailing_stop,,3.8098457994579946,earnings_blackout,4.343531978319783,738
institutional_insider_combo_long,trailing_stop,,4.110414123376623,earnings_blackout,5.768454383116883,616
institutional_multi_quarter_persistence_long,trailing_stop,,3.9872593703148427,earnings_blackout,5.713994752623688,667
institutional_oversold_long,trailing_stop,,1.753266666666667,earnings_blackout,3.5875000000000004,93
