# T3 Tier 3 Universe_Momentum Top-100_Jun 2022 to May 2026.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
ASPC,,Information Technology,2026-02-02,2026-03-02,1.763527,,27.58
ASPI,,Materials,2024-12-02,2025-02-03,2.452055,,10.08
ASPI,,Materials,2025-07-01,2025-11-03,2.452055,,10.08
ASPN,,Industrials,2024-04-01,2024-12-02,2.795213,,28.54
ASRT,,Health Care,2023-03-01,2023-08-01,1.151515,,85.2
ASRT,,Health Care,2023-09-01,2023-10-02,1.151515,,85.2
ASST,,Financials,2025-07-01,2025-09-01,1.425934,,22.6
ASST,,Financials,2025-10-01,2026-02-02,1.425934,,22.6
ASTI,,Information Technology,2026-04-01,2026-05-01,2.642458,,6.52
ASTS,,Communication Services,2024-08-01,2024-10-01,2.311027,,78.67
ASTS,,Communication Services,2024-12-02,2025-02-03,2.311027,,78.67
ASTS,,Communication Services,2025-03-03,2025-04-01,2.311027,,78.67
ASTS,,Communication Services,2025-06-02,2025-09-01,2.311027,,78.67
ASTS,,Communication Services,2025-12-01,,2.311027,,78.67
ASUR,,Information Technology,2023-05-01,2023-06-01,1.513793,,14.58
ASYS,,Industrials,2026-03-02,2026-04-01,2.241584,,16.37
ATAI,,Health Care,2025-11-03,2026-01-01,2.680473,,6.22
ATEC,,Health Care,2023-06-01,2023-10-02,1.458107,,22.59
ATEC,,Health Care,2025-10-01,2025-12-01,1.458107,,22.59
