# T3 momentum_watchlist.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
ASTS,,,2025-06-02,2025-09-01,2.311027,,78.67
ASTS,,,2025-12-01,2026-01-01,2.311027,,78.67
ASTS,,,2026-02-02,,2.311027,,78.67
ASUR,,,2023-05-01,2023-06-01,1.513793,,14.58
ASYS,,,2026-03-02,2026-04-01,2.241584,,16.37
ATAI,,,2025-11-03,2026-01-01,2.680473,,6.22
ATAT,,,2023-12-01,2024-01-01,0.58677,,18.47
ATEC,,,2023-06-01,2023-10-02,1.721402,,14.75
ATEC,,,2025-10-01,2025-12-01,1.721402,,14.75
ATGE,,,2025-05-01,2025-06-02,1.071055,,102.89
ATHE,,,2025-09-01,2025-10-01,2.6,,5.58
ATI,,,2022-10-03,2023-02-01,0.520951,,40.29
ATI,,,2023-04-03,2023-05-01,0.520951,,40.29
ATKR,,,2023-10-02,2023-11-01,1.036991,,145.93
ATLX,,,2024-02-01,2024-03-01,3.271447,,33.36
ATNM,,,2023-04-03,2023-05-01,0.964215,,9.88
ATRO,,,2025-12-01,,1.962048,,64.78
ATYR,,,2025-08-01,2025-11-03,1.971264,,5.17
AU,,,2026-01-01,2026-05-01,2.441128,,124.5
AUPH,,,2024-01-01,2024-02-01,1.077859,,8.54
AUR,,,2024-11-01,2025-01-01,1.329545,,6.15
AUR,,,2025-03-03,2025-08-01,1.329545,,6.15
AURC,,,2023-09-01,2023-10-02,3.463019,,44.05
AUTL,,,2024-02-01,2024-05-01,2.617143,,6.33
AVAV,,,2024-07-01,2024-08-01,1.211802,,199.77
AVDL,,,2023-07-03,2023-10-02,1.820681,,21.55
AVDL,,,2026-02-02,2026-03-02,1.820681,,21.55
AVEO,,,2022-12-01,2023-02-01,1.995968,,14.86
AVGX,,,2025-12-01,2026-01-01,2.094632,,55.92
AVL,,,2025-12-01,2026-01-01,2.217915,,61.43
AVPT,,,2024-01-01,2024-02-01,1.11378,,16.72
AVPT,,,2025-03-03,2025-05-01,1.11378,,16.72
AVTX,,,2026-05-01,,1.905858,,13.89
AVXL,,,2025-05-01,2025-06-02,1.773256,,9.54
AXGN,,,2025-04-01,2025-06-02,1.864253,,18.99
AXON,,,2023-05-01,2023-06-01,0.928622,,218.59
AXSM,,,2022-09-01,2022-11-01,1.164892,,83.37
AXSM,,,2023-01-02,2023-07-03,1.164892,,83.37
AXSM,,,2023-08-01,2023-09-01,1.164892,,83.37
AXTI,,,2025-12-01,2026-02-02,3.583333,,10.45
AZEK,,,2023-10-02,2023-11-01,1.019509,,32.09
AZPN,,,2022-10-03,2022-12-01,0.549584,,232.67
AZUL,,,2023-08-01,2023-09-01,0.972727,,8.68
AZUL,,,2024-03-01,2024-04-01,0.972727,,8.68
BABX,,,2025-04-01,2025-06-02,1.610253,,42.26
BABX,,,2025-11-03,2026-02-02,1.610253,,42.26
BANF,,,2022-08-01,2022-12-01,0.430781,,90.64
BATL,,,2026-05-01,,3.679104,,6.27
BBAI,,,2025-04-01,2025-05-01,2.349057,,7.1
BBAI,,,2025-08-01,2026-01-01,2.349057,,7.1
BBAR,,,2023-08-01,2023-09-01,1.304825,,21.02
BBAR,,,2024-06-03,2024-07-01,1.304825,,21.02
BBAR,,,2024-12-02,2025-08-01,1.304825,,21.02
BBIO,,,2023-06-01,2023-07-03,1.320027,,34.87
BBIO,,,2023-09-01,2024-05-01,1.320027,,34.87
BCC,,,2024-05-01,2024-06-03,1.280757,,151.83
BCPC,,,2022-07-01,2022-08-01,4.5692,,139.23
BCPC,,,2023-02-01,2023-04-03,4.5692,,139.23
BCPC,,,2024-03-01,2024-04-01,4.5692,,139.23
BCPC,,,2024-06-03,2024-07-01,4.5692,,139.23
BDTX,,,2024-06-03,2024-07-01,2.153226,,5.87
BE,,,2025-03-03,2025-04-01,3.333824,,88.41
BE,,,2025-05-01,2025-06-02,3.333824,,88.41
BE,,,2025-09-01,2025-11-03,3.333824,,88.41
BE,,,2025-12-01,2026-03-02,3.333824,,88.41
BELFA,,,2026-05-01,,1.862613,,190.65
