strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,regimes_profitable,passes_all,audit_flags,category
roc_burst,Industrials,medium_volatility,2L/0S,2,0.0,0.0,0.6576,True,0.0,-3.7395,0.0,0.0,-3.7395,-2.1394,-7.4791,-6.362,-25.911,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",17.0,-2.1394,-5.3397,,,0,False,['ci_lower_0.0pct_may_be_random'],momentum
ultimate_oscillator,Information Technology,high_volatility,3L/0S,3,0.0,0.0,0.5615,True,0.0,-2.4969,0.0,0.0,-2.4969,-5.8583,-7.4908,-4.838,-9.206,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",11.7,-0.6504,-5.2079,,,0,False,['ci_lower_0.0pct_may_be_random'],momentum
pivot_r1_breakout,Health Care,high_volatility,4L/0S,4,0.0,0.0,0.4899,True,0.0,-3.486,0.0,0.0,-3.486,-9.4929,-13.9441,-9.543,-6.855,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",13.5,-2.1154,-5.202,,,0,False,['ci_lower_0.0pct_may_be_random'],pivot
prev_day_high_break,Health Care,high_volatility,4L/0S,4,0.0,0.0,0.4899,True,0.0,-4.9168,0.0,0.0,-4.9168,-15.2161,-19.6674,-67.107,-9.58,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",8.5,-4.4513,-5.3079,,,0,False,['ci_lower_0.0pct_may_be_random'],pivot
prev_day_low_bounce,Industrials,medium_volatility,4L/0S,4,0.0,0.0,0.4899,True,0.0,-4.259,0.0,0.0,-4.259,-11.8324,-17.036,-21.246,-10.078,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",9.0,-3.0836,-5.2036,,,0,False,['ci_lower_0.0pct_may_be_random'],pivot
shooting_star_short,Health Care,high_volatility,0L/1S,1,0.0,0.0,0.7935,True,0.0,-3.2519,0.0,0.0,-3.2519,0.0,-3.2519,,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",28.0,-3.2519,-3.2519,,,0,False,['ci_lower_0.0pct_may_be_random'],candle
golden_cross_50_200,Information Technology,high_volatility,1L/0S,1,0.0,0.0,0.7935,True,0.0,-3.2167,0.0,0.0,-3.2167,0.0,-3.2167,,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",13.0,-3.2167,-3.2167,,,0,False,['ci_lower_0.0pct_may_be_random'],trend
bullish_engulfing_support,Health Care,high_volatility,4L/0S,4,0.0,0.0,0.4899,True,0.0,-3.4664,0.0,0.0,-3.4664,-11.1166,-13.8655,-13.561,-6.548,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",12.0,-2.7489,-5.202,,,0,False,['ci_lower_0.0pct_may_be_random'],candle
golden_cross_20_50,Health Care,high_volatility,1L/0S,1,0.0,0.0,0.7935,True,0.0,-3.5415,0.0,0.0,-3.5415,0.0,-3.5415,,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",22.0,-3.5415,-3.5415,,,0,False,['ci_lower_0.0pct_may_be_random'],trend
donchian_10_breakout,Industrials,medium_volatility,1L/0S,1,0.0,0.0,0.7935,True,0.0,-2.1154,0.0,0.0,-2.1154,0.0,-2.1154,,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",18.0,-2.1154,-2.1154,,,0,False,['ci_lower_0.0pct_may_be_random'],breakout
pivot_s2_bounce,Health Care,high_volatility,1L/0S,1,0.0,0.0,0.7935,True,0.0,-5.0468,0.0,0.0,-5.0468,0.0,-5.0468,,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",31.0,-5.0468,-5.0468,,,0,False,['ci_lower_0.0pct_may_be_random'],pivot
pivot_s3_capitulation,Industrials,medium_volatility,1L/0S,1,0.0,0.0,0.7935,True,0.0,-4.2272,0.0,0.0,-4.2272,0.0,-4.2272,,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",8.0,-4.2272,-4.2272,,,0,False,['ci_lower_0.0pct_may_be_random'],pivot
