strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,trailing_10pct,53,2,0.5,11.340100000000001,22.680200000000003
bollinger_lower,trailing_10pct,54,3,1.0,6.845066666666667,20.5352
bollinger_lower,trailing_10pct,55,3,0.3333333333333333,0.9039333333333334,2.7118
bollinger_lower,trailing_10pct,56,7,0.14285714285714285,-3.6174857142857144,-25.322400000000002
bollinger_lower,trailing_10pct,57,2,0.0,-3.44225,-6.8845
bollinger_lower,trailing_10pct,59,2,0.0,-6.5719,-13.1438
bollinger_lower,trailing_10pct,60,1,0.0,-10.0,-10.0
bollinger_lower,trailing_10pct,61,4,0.25,-0.5896250000000003,-2.358500000000001
bollinger_lower,trailing_10pct,62,1,1.0,1.9666,1.9666
bollinger_lower,trailing_10pct,63,3,0.3333333333333333,-4.217,-12.651
bollinger_lower,trailing_10pct,64,2,0.0,-7.3637999999999995,-14.727599999999999
bollinger_lower,trailing_10pct,68,1,1.0,4.1681,4.1681
bollinger_lower,trailing_10pct,70,2,0.5,14.010000000000002,28.020000000000003
bollinger_lower,trailing_10pct,72,2,0.5,19.21215,38.4243
bollinger_lower,trailing_10pct,73,2,0.5,1.8745499999999993,3.7490999999999985
bollinger_lower,trailing_10pct,74,2,1.0,6.052899999999999,12.105799999999999
bollinger_lower,trailing_10pct,75,1,1.0,0.1867,0.1867
bollinger_lower,trailing_10pct,76,4,0.25,-5.467700000000001,-21.870800000000003
bollinger_lower,trailing_10pct,77,1,0.0,-6.293,-6.293
bollinger_lower,trailing_10pct,78,3,1.0,4.007866666666668,12.023600000000002
bollinger_lower,trailing_10pct,80,2,1.0,6.9692,13.9384
bollinger_lower,trailing_10pct,81,3,0.0,-10.078366666666666,-30.2351
bollinger_lower,trailing_10pct,82,2,0.5,-0.13049999999999995,-0.2609999999999999
bollinger_lower,trailing_10pct,83,6,0.3333333333333333,2.0465833333333334,12.2795
bollinger_lower,trailing_10pct,84,2,0.0,-10.259350000000001,-20.518700000000003
bollinger_lower,trailing_10pct,85,1,0.0,-10.0,-10.0
bollinger_lower,trailing_10pct,88,1,0.0,-10.0,-10.0
bollinger_lower,trailing_10pct,89,1,1.0,4.4465,4.4465
bollinger_lower,trailing_10pct,90,1,0.0,-4.4836,-4.4836
bollinger_lower,trailing_10pct,91,1,0.0,-8.2391,-8.2391
bollinger_lower,trailing_15pct,0,3,0.0,-10.971166666666667,-32.9135
bollinger_lower,trailing_15pct,1,4,0.25,7.5515,30.206
bollinger_lower,trailing_15pct,2,1,0.0,-15.0,-15.0
bollinger_lower,trailing_15pct,3,2,1.0,26.2938,52.5876
bollinger_lower,trailing_15pct,4,4,0.5,-0.9448249999999998,-3.779299999999999
bollinger_lower,trailing_15pct,7,4,0.25,-3.7929250000000003,-15.171700000000001
bollinger_lower,trailing_15pct,8,4,0.75,23.45065,93.8026
bollinger_lower,trailing_15pct,9,1,1.0,23.96,23.96
bollinger_lower,trailing_15pct,11,1,0.0,-1.4013,-1.4013
bollinger_lower,trailing_15pct,12,3,0.3333333333333333,0.2169666666666664,0.6508999999999991
bollinger_lower,trailing_15pct,13,1,0.0,-5.1516,-5.1516
