strategy_name,direction,category,n_fires,class,fired_regimes,regime_affinity,disabled_flag,exploratory_flag,producer_signals,root_cause_hypothesis,notes
52w_high_breakout_with_smart_money_long,long,unknown,4,STARVED,bull,,False,False,"close_above_open,close_in_top_40pct_of_range,near_52w_high_95pct,vol_spike_12x",REVIEW_NEEDED,
camarilla_s3_bounce,dual,unknown,4,STARVED,bull,"bear,crisis,neutral",False,False,"near_cam_r3,near_cam_s3,obv_bearish,obv_bullish,rsi_14",REVIEW_NEEDED,
doji_at_support,dual,unknown,4,STARVED,"bear,bull",,False,False,"at_key_fib_wide,doji,near_s1_wide,near_s2_wide,vol_spike_15x",REVIEW_NEEDED,
head_and_shoulders_bottom_long,long,unknown,4,STARVED,"bull,neutral","bull,neutral",False,True,"head_shoulders_bottom_detected,price_above_ema_200",EXPLORATORY_INTENTIONAL,
insider_cluster_long,long,unknown,4,STARVED,"bear,bull","bear,bull,neutral",False,False,"insider_cluster_active,insider_unique_buyers_30d,price_above_ema_200",REVIEW_NEEDED,
institutional_with_directors_long,long,unknown,4,STARVED,"bear,bull",,False,False,"insider_director_buyers_30d,institutional_buy,price_above_ema_200",REVIEW_NEEDED,
parabolic_sar_flip_short,short,unknown,4,STARVED,"bear,bull","bear,crisis,neutral",False,False,"adx_trending,psar_flip_dn",REVIEW_NEEDED,
flag_bear_retest_short,short,unknown,3,STARVED,bull,,False,False,"below_ema_200,close_below_open,flag_bear_break_retest_short,price_above_ema_200,vol_below_avg",REVIEW_NEEDED,
shooting_star_short,short,unknown,3,STARVED,bull,"bear,crisis,neutral",False,False,"bb_20_20_touch_upper,near_r1,near_r2,rsi_14,shooting_star",REVIEW_NEEDED,
adx_initiation,dual,unknown,2,STARVED,"bull,neutral",bear,False,False,"adx_cross_up,adx_di_bear,adx_di_bull",REVIEW_NEEDED,
bollinger_upper_short,short,unknown,2,STARVED,bull,"bear,crisis,neutral",False,True,"bb_20_20_touch_upper,rsi_14,shooting_star",EXPLORATORY_INTENTIONAL,
donchian_breakout_long,long,unknown,2,STARVED,bull,,False,False,"close_above_open,close_in_top_40pct_of_range,dc10_breakout_up,macd_12_26_9_bullish,vol_spike_15x",REVIEW_NEEDED,
institutional_increased_with_directors_long,long,unknown,2,STARVED,bull,,False,False,"insider_director_buyers_30d,institutional_increased,price_above_ema_200",REVIEW_NEEDED,
pivot_fib_confluence,dual,unknown,2,STARVED,"bear,bull",,False,False,"at_key_fib,bearish_engulfing,bullish_engulfing,hammer,near_r1,near_r2,near_s1,near_s2",REVIEW_NEEDED,
supertrend_macd_short,short,unknown,2,STARVED,"bull,neutral","bear,crisis,neutral",False,False,"adx,macd_12_26_9_bearish,supertrend_bearish",REVIEW_NEEDED,
halloween_seasonal_long,long,unknown,1,STARVED,bear,"bear,bull,neutral",False,True,"is_halloween_period_first_day,price_above_ema_200",EXPLORATORY_INTENTIONAL,
insider_cluster_with_director_long,long,unknown,1,STARVED,bear,"bear,bull,neutral",False,False,"insider_cluster_active,insider_director_buyers_30d,insider_unique_buyers_30d,price_above_ema_200",REVIEW_NEEDED,
