strategy,exit_method,mae_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
po3_bullish,reverse_signal,q4_ge_10pct,23,0.30434782608695654,-1.1165565217391304,-25.6808
po3_bullish,smc_mitigation_zone,q3_5_10pct,1,1.0,2.0517,2.0517
po3_bullish,smc_mitigation_zone,q4_ge_10pct,23,0.34782608695652173,-0.30959130434782606,-7.1206
po3_bullish,time_stop_10d,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,time_stop_10d,q4_ge_10pct,23,0.34782608695652173,-1.259617391304348,-28.971200000000003
po3_bullish,time_stop_20d,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,time_stop_20d,q4_ge_10pct,23,0.43478260869565216,0.8401173913043479,19.3227
po3_bullish,trailing_10pct,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,trailing_10pct,q4_ge_10pct,23,0.43478260869565216,1.0679391304347825,24.562599999999996
po3_bullish,trailing_15pct,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,trailing_15pct,q4_ge_10pct,23,0.5217391304347826,5.806,133.538
po3_bullish,trailing_5pct,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,trailing_5pct,q4_ge_10pct,23,0.34782608695652173,0.27204782608695643,6.257099999999998
pre_fomc_long_sleeve,atr_trail_1x,q4_ge_10pct,6,0.0,-3.2015499999999997,-19.2093
pre_fomc_long_sleeve,atr_trail_2x,q4_ge_10pct,6,0.16666666666666666,-4.321533333333334,-25.9292
pre_fomc_long_sleeve,atr_trail_mae_conditional,q4_ge_10pct,6,0.0,-3.2015499999999997,-19.2093
pre_fomc_long_sleeve,atr_trail_vix_conditional,q4_ge_10pct,6,0.0,-2.4011666666666667,-14.407
pre_fomc_long_sleeve,break_even_at_1r,q4_ge_10pct,6,0.0,-2.5805000000000002,-15.483
pre_fomc_long_sleeve,breakeven_plus_trail,q4_ge_10pct,6,0.0,-3.7455166666666666,-22.4731
pre_fomc_long_sleeve,chandelier_3x,q4_ge_10pct,6,0.0,-6.873066666666666,-41.2384
pre_fomc_long_sleeve,class_time_stop,q4_ge_10pct,6,0.6666666666666666,1.0204666666666666,6.1228
pre_fomc_long_sleeve,earnings_blackout,q4_ge_10pct,6,0.6666666666666666,81.64405000000001,489.8643
pre_fomc_long_sleeve,fixed_4r_2r,q4_ge_10pct,6,0.16666666666666666,-4.271766666666667,-25.6306
pre_fomc_long_sleeve,hybrid_50pct_target,q4_ge_10pct,6,0.6666666666666666,0.20428333333333346,1.2257000000000007
pre_fomc_long_sleeve,ma_exit_ema9,q4_ge_10pct,6,0.0,-5.706166666666667,-34.237
pre_fomc_long_sleeve,mfe_lockin_trail,q4_ge_10pct,6,0.0,-3.2015499999999997,-19.2093
pre_fomc_long_sleeve,multi_tier_partial,q4_ge_10pct,6,0.16666666666666666,-2.3237,-13.9422
pre_fomc_long_sleeve,next_pivot_target,q4_ge_10pct,6,0.6666666666666666,-1.7741833333333332,-10.6451
pre_fomc_long_sleeve,r_multiple_2r,q4_ge_10pct,6,0.0,-3.2015499999999997,-19.2093
pre_fomc_long_sleeve,r_multiple_3r,q4_ge_10pct,6,0.0,-3.2015499999999997,-19.2093
pre_fomc_long_sleeve,regime_flip,q4_ge_10pct,6,0.6666666666666666,2.497083333333334,14.982500000000005
pre_fomc_long_sleeve,reverse_signal,q4_ge_10pct,6,0.0,-3.2015499999999997,-19.2093
pre_fomc_long_sleeve,smc_mitigation_zone,q4_ge_10pct,6,0.0,-3.2015499999999997,-19.2093
pre_fomc_long_sleeve,time_stop_10d,q4_ge_10pct,6,0.5,-0.6499333333333329,-3.8995999999999977
pre_fomc_long_sleeve,time_stop_20d,q4_ge_10pct,6,0.6666666666666666,2.497083333333334,14.982500000000005
pre_fomc_long_sleeve,trailing_10pct,q4_ge_10pct,6,0.16666666666666666,-5.612683333333333,-33.6761
pre_fomc_long_sleeve,trailing_15pct,q4_ge_10pct,6,0.3333333333333333,-4.89205,-29.3523
pre_fomc_long_sleeve,trailing_5pct,q4_ge_10pct,6,0.3333333333333333,-1.38995,-8.3397
smc_choch_reversal,atr_trail_1x,q4_ge_10pct,6,0.3333333333333333,-3.9315833333333337,-23.5895
smc_choch_reversal,atr_trail_2x,q4_ge_10pct,6,0.6666666666666666,-4.6010833333333325,-27.606499999999993
smc_choch_reversal,atr_trail_mae_conditional,q4_ge_10pct,6,0.3333333333333333,-3.9315833333333337,-23.5895
smc_choch_reversal,atr_trail_vix_conditional,q4_ge_10pct,6,0.16666666666666666,-6.180933333333333,-37.0856
smc_choch_reversal,break_even_at_1r,q4_ge_10pct,6,0.3333333333333333,6.646516666666666,39.879099999999994
smc_choch_reversal,breakeven_plus_trail,q4_ge_10pct,6,0.5,6.6889,40.1334
smc_choch_reversal,chandelier_3x,q4_ge_10pct,6,0.5,-1.5137166666666666,-9.0823
smc_choch_reversal,class_time_stop,q4_ge_10pct,6,0.6666666666666666,2.511216666666667,15.067300000000001
smc_choch_reversal,earnings_blackout,q4_ge_10pct,6,0.5,6.294150000000001,37.764900000000004
smc_choch_reversal,fixed_4r_2r,q4_ge_10pct,6,0.6666666666666666,-2.9496499999999997,-17.697899999999997
smc_choch_reversal,hybrid_50pct_target,q4_ge_10pct,6,0.6666666666666666,-0.09928333333333295,-0.5956999999999977
smc_choch_reversal,ma_exit_ema9,q4_ge_10pct,6,0.5,-0.14448333333333327,-0.8668999999999996
smc_choch_reversal,mfe_lockin_trail,q4_ge_10pct,6,0.3333333333333333,-3.8039166666666673,-22.823500000000003
smc_choch_reversal,multi_tier_partial,q4_ge_10pct,6,0.3333333333333333,-3.69155,-22.1493
smc_choch_reversal,next_pivot_target,q4_ge_10pct,6,0.6666666666666666,-6.783066666666666,-40.69839999999999
smc_choch_reversal,r_multiple_2r,q4_ge_10pct,6,0.5,-1.2578500000000001,-7.5471
smc_choch_reversal,r_multiple_3r,q4_ge_10pct,6,0.3333333333333333,-2.124416666666667,-12.746500000000001
smc_choch_reversal,regime_flip,q4_ge_10pct,6,0.6666666666666666,0.94535,5.6721
smc_choch_reversal,reverse_signal,q4_ge_10pct,6,0.3333333333333333,-3.9315833333333337,-23.5895
smc_choch_reversal,smc_mitigation_zone,q4_ge_10pct,6,0.3333333333333333,-3.9315833333333337,-23.5895
smc_choch_reversal,time_stop_10d,q4_ge_10pct,6,0.6666666666666666,-1.4023833333333329,-8.414299999999997
smc_choch_reversal,time_stop_20d,q4_ge_10pct,6,0.6666666666666666,0.94535,5.6721
smc_choch_reversal,trailing_10pct,q4_ge_10pct,6,0.5,11.40775,68.4465
smc_choch_reversal,trailing_15pct,q4_ge_10pct,6,0.5,8.5997,51.5982
smc_choch_reversal,trailing_5pct,q4_ge_10pct,6,0.5,4.85235,29.1141
smc_inverse_fvg,atr_trail_1x,q4_ge_10pct,5,0.2,-3.93228,-19.6614
smc_inverse_fvg,atr_trail_2x,q4_ge_10pct,5,0.2,-6.03306,-30.1653
smc_inverse_fvg,atr_trail_mae_conditional,q4_ge_10pct,5,0.2,-3.93228,-19.6614
smc_inverse_fvg,atr_trail_vix_conditional,q4_ge_10pct,5,0.2,-2.9665000000000004,-14.832500000000001
smc_inverse_fvg,break_even_at_1r,q4_ge_10pct,5,0.4,-3.57408,-17.8704
smc_inverse_fvg,breakeven_plus_trail,q4_ge_10pct,5,0.6,3.9003,19.5015
smc_inverse_fvg,chandelier_3x,q4_ge_10pct,5,0.2,-1.5653400000000004,-7.8267000000000015
smc_inverse_fvg,class_time_stop,q4_ge_10pct,5,0.4,2.8602200000000004,14.301100000000002
smc_inverse_fvg,earnings_blackout,q4_ge_10pct,5,0.4,-2.027120000000001,-10.135600000000004
smc_inverse_fvg,fixed_4r_2r,q4_ge_10pct,5,0.2,-1.5592599999999996,-7.796299999999999
smc_inverse_fvg,hybrid_50pct_target,q4_ge_10pct,5,0.6,10.456520000000001,52.2826
smc_inverse_fvg,ma_exit_ema9,q4_ge_10pct,5,0.4,-3.4605000000000006,-17.302500000000002
smc_inverse_fvg,mfe_lockin_trail,q4_ge_10pct,5,0.2,-3.93228,-19.6614
smc_inverse_fvg,multi_tier_partial,q4_ge_10pct,5,0.4,-2.6880600000000006,-13.440300000000002
smc_inverse_fvg,next_pivot_target,q4_ge_10pct,5,0.4,-3.5804999999999993,-17.902499999999996
smc_inverse_fvg,r_multiple_2r,q4_ge_10pct,5,0.2,-0.47672000000000025,-2.3836000000000013
smc_inverse_fvg,r_multiple_3r,q4_ge_10pct,5,0.2,2.2696000000000005,11.348000000000003
smc_inverse_fvg,regime_flip,q4_ge_10pct,5,0.4,3.30724,16.5362
smc_inverse_fvg,reverse_signal,q4_ge_10pct,5,0.2,-3.93228,-19.6614
smc_inverse_fvg,smc_mitigation_zone,q4_ge_10pct,5,0.4,-1.7835800000000002,-8.917900000000001
smc_inverse_fvg,time_stop_10d,q4_ge_10pct,5,0.4,1.51248,7.5624
smc_inverse_fvg,time_stop_20d,q4_ge_10pct,5,0.4,3.30724,16.5362
smc_inverse_fvg,trailing_10pct,q4_ge_10pct,5,0.2,-4.05858,-20.2929
smc_inverse_fvg,trailing_15pct,q4_ge_10pct,5,0.0,-7.224200000000001,-36.121
smc_inverse_fvg,trailing_5pct,q4_ge_10pct,5,0.2,-1.668,-8.34
smc_order_block_bounce,atr_trail_1x,q4_ge_10pct,7,0.14285714285714285,-1.8328857142857142,-12.8302
smc_order_block_bounce,atr_trail_2x,q4_ge_10pct,7,0.2857142857142857,-3.0805571428571428,-21.5639
smc_order_block_bounce,atr_trail_mae_conditional,q4_ge_10pct,7,0.14285714285714285,-1.8328857142857142,-12.8302
smc_order_block_bounce,atr_trail_vix_conditional,q4_ge_10pct,7,0.42857142857142855,-1.1330285714285715,-7.9312000000000005
smc_order_block_bounce,break_even_at_1r,q4_ge_10pct,7,0.0,-1.7692571428571429,-12.3848
smc_order_block_bounce,breakeven_plus_trail,q4_ge_10pct,7,0.2857142857142857,2.0883285714285713,14.6183
smc_order_block_bounce,chandelier_3x,q4_ge_10pct,7,0.0,-0.6284,-4.3988
smc_order_block_bounce,class_time_stop,q4_ge_10pct,7,0.2857142857142857,-4.588385714285714,-32.1187
smc_order_block_bounce,earnings_blackout,q4_ge_10pct,7,0.2857142857142857,-10.983728571428573,-76.88610000000001
