date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price
2022-11-16,halt_resumed,,,6.0,-1.6196,100000.0,-61962.98000000001,,,
2022-11-17,halt_triggered,,,6.0,-1.6196,100000.0,-61962.98000000001,,,
2022-11-18,halt_resumed,,,6.0,-1.6231,100000.0,-62307.74000000002,,,
2022-11-21,halt_triggered,,,6.0,-1.6231,100000.0,-62307.74000000002,,,
2022-11-22,halt_resumed,,,6.0,-1.6231,100000.0,-62307.74000000002,,,
2022-11-23,halt_triggered,,,6.0,-1.6231,100000.0,-62307.74000000002,,,
2022-11-24,halt_resumed,,,6.0,-1.6231,100000.0,-62307.74000000002,,,
2022-11-25,halt_triggered,,,6.0,-1.6241,100000.0,-62406.72,,,
2022-11-28,halt_resumed,,,6.0,-1.6241,100000.0,-62406.72,,,
2022-11-29,halt_triggered,,,6.0,-1.6241,100000.0,-62406.72,,,
2022-11-30,halt_resumed,,,6.0,-1.6241,100000.0,-62406.72,,,
2022-12-01,halt_triggered,,,6.0,-1.6241,100000.0,-62406.72,,,
2022-12-02,halt_resumed,,,6.0,-1.6241,100000.0,-62406.72,,,
2022-12-05,halt_triggered,,,6.0,-1.6362,100000.0,-63618.72,,,
2022-12-06,halt_resumed,,,6.0,-1.6362,100000.0,-63618.72,,,
2022-12-07,halt_triggered,,,6.0,-1.6321,100000.0,-63213.630000000005,,,
2022-12-08,halt_resumed,,,6.0,-1.6321,100000.0,-63213.630000000005,,,
2022-12-09,halt_triggered,,,6.0,-1.6321,100000.0,-63213.630000000005,,,
2022-12-12,halt_resumed,,,6.0,-1.6321,100000.0,-63213.630000000005,,,
2022-12-13,halt_triggered,,,6.0,-1.6321,100000.0,-63213.630000000005,,,
2022-12-14,halt_resumed,,,6.0,-1.6321,100000.0,-63213.630000000005,,,
2022-12-15,halt_triggered,,,6.0,-1.6388,100000.0,-63879.78,,,
2022-12-16,halt_resumed,,,6.0,-1.6388,100000.0,-63879.78,,,
2022-12-19,halt_triggered,,,6.0,-1.6131,100000.0,-61307.119999999995,,,
2022-12-20,halt_resumed,,,6.0,-1.6131,100000.0,-61307.119999999995,,,
2022-12-21,halt_triggered,,,6.0,-1.6131,100000.0,-61307.119999999995,,,
2022-12-22,halt_resumed,,,6.0,-1.6231,100000.0,-62314.32000000001,,,
2022-12-23,halt_triggered,,,6.0,-1.6231,100000.0,-62314.32000000001,,,
2022-12-26,halt_resumed,,,6.0,-1.6231,100000.0,-62314.32000000001,,,
2022-12-27,halt_triggered,,,6.0,-1.6231,100000.0,-62314.32000000001,,,
2022-12-28,halt_resumed,,,6.0,-1.6231,100000.0,-62314.32000000001,,,
2022-12-29,halt_triggered,,,6.0,-1.6261,100000.0,-62614.830000000016,,,
2022-12-30,halt_resumed,,,6.0,-1.6261,100000.0,-62614.830000000016,,,
2023-01-02,halt_triggered,,,6.0,-1.6261,100000.0,-62614.830000000016,,,
2023-01-03,halt_resumed,,,6.0,-1.6261,100000.0,-62614.830000000016,,,
2023-01-04,halt_triggered,,,6.0,-1.6261,100000.0,-62614.830000000016,,,
2023-01-05,halt_resumed,,,6.0,-1.6225,100000.0,-62248.48000000001,,,
2023-01-06,halt_triggered,,,6.0,-1.6225,100000.0,-62248.48000000001,,,
2023-02-16,halt_resumed,,,6.0,-1.6337,100000.0,-63371.91,,,
2023-02-17,halt_triggered,,,6.0,-1.6337,100000.0,-63371.91,,,
2023-02-20,halt_resumed,,,6.0,-1.6337,100000.0,-63371.91,,,
2023-02-21,halt_triggered,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-02-22,halt_resumed,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-02-23,halt_triggered,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-02-24,halt_resumed,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-02-27,halt_triggered,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-02-28,halt_resumed,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-03-01,halt_triggered,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-03-02,halt_resumed,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-03-03,halt_triggered,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-03-06,halt_resumed,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-03-07,halt_triggered,,,6.0,-1.6361,100000.0,-63610.140000000014,,,
2023-03-08,halt_resumed,,,6.0,-1.6391,100000.0,-63914.74000000002,,,
2023-03-09,halt_triggered,,,6.0,-1.6374,100000.0,-63738.05000000002,,,
2023-03-10,halt_resumed,,,6.0,-1.6374,100000.0,-63738.05000000002,,,
2023-03-13,halt_triggered,,,6.0,-1.6386,100000.0,-63860.30000000002,,,
2023-03-14,halt_resumed,,,6.0,-1.6386,100000.0,-63860.30000000002,,,
2023-03-15,halt_triggered,,,6.0,-1.6386,100000.0,-63860.30000000002,,,
2023-03-16,halt_resumed,,,6.0,-1.6506,100000.0,-65061.07000000001,,,
2023-03-17,halt_triggered,,,6.0,-1.6506,100000.0,-65061.07000000001,,,
2023-03-20,halt_resumed,,,6.0,-1.6506,100000.0,-65061.07000000001,,,
2023-03-21,halt_triggered,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-03-22,halt_resumed,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-03-23,halt_triggered,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-03-24,halt_resumed,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-03-27,halt_triggered,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-03-28,halt_resumed,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-03-29,halt_triggered,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-03-30,halt_resumed,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-03-31,halt_triggered,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-04-03,halt_resumed,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-04-04,halt_triggered,,,6.0,-1.6504,100000.0,-65035.45999999999,,,
2023-04-05,halt_resumed,,,6.0,-1.6575,100000.0,-65749.39000000001,,,
2023-04-06,halt_triggered,,,6.0,-1.6518,100000.0,-65177.130000000005,,,
2023-04-07,halt_resumed,,,6.0,-1.6518,100000.0,-65177.130000000005,,,
2023-04-10,halt_triggered,,,6.0,-1.6518,100000.0,-65177.130000000005,,,
2023-04-11,halt_resumed,,,6.0,-1.6518,100000.0,-65177.130000000005,,,
2023-04-12,halt_triggered,,,6.0,-1.6518,100000.0,-65177.130000000005,,,
2023-04-13,halt_resumed,,,6.0,-1.6539,100000.0,-65389.47,,,
2023-04-14,halt_triggered,,,6.0,-1.6386,100000.0,-63864.78,,,
2023-04-17,halt_resumed,,,6.0,-1.6386,100000.0,-63864.78,,,
2023-04-18,halt_triggered,,,6.0,-1.6386,100000.0,-63864.78,,,
2023-04-19,halt_resumed,,,6.0,-1.6386,100000.0,-63864.78,,,
2023-04-20,halt_triggered,,,6.0,-1.6386,100000.0,-63864.78,,,
2023-04-21,halt_resumed,,,6.0,-1.6481,100000.0,-64810.390000000014,,,
2023-04-24,halt_triggered,,,6.0,-1.6481,100000.0,-64810.390000000014,,,
2023-04-25,halt_resumed,,,6.0,-1.6481,100000.0,-64810.390000000014,,,
2023-04-26,halt_triggered,,,6.0,-1.6481,100000.0,-64810.390000000014,,,
2023-04-27,halt_resumed,,,6.0,-1.6481,100000.0,-64810.390000000014,,,
2023-04-27,dispersion_cb_triggered_dec128,3.1151,0.030329,,,,,,,
2023-04-28,halt_triggered,,,6.0,-1.6481,100000.0,-64810.390000000014,,,
2023-05-01,halt_resumed,,,6.0,-1.6481,100000.0,-64810.390000000014,,,
2023-05-02,halt_triggered,,,6.0,-1.6481,100000.0,-64810.390000000014,,,
2023-05-03,halt_resumed,,,6.0,-1.6481,100000.0,-64810.390000000014,,,
2023-05-04,halt_triggered,,,6.0,-1.6463,100000.0,-64626.69,,,
2023-05-05,halt_resumed,,,6.0,-1.6322,100000.0,-63218.32000000001,,,
2023-05-08,halt_triggered,,,6.0,-1.6322,100000.0,-63218.32000000001,,,
2023-05-09,halt_resumed,,,6.0,-1.6322,100000.0,-63218.32000000001,,,
2023-05-10,halt_triggered,,,6.0,-1.6322,100000.0,-63218.32000000001,,,
2023-05-11,halt_resumed,,,6.0,-1.6423,100000.0,-64227.119999999995,,,
2023-05-12,halt_triggered,,,6.0,-1.6423,100000.0,-64227.119999999995,,,
2023-05-15,halt_resumed,,,6.0,-1.6423,100000.0,-64227.119999999995,,,
2023-05-16,halt_triggered,,,6.0,-1.6423,100000.0,-64227.119999999995,,,
2023-05-17,halt_resumed,,,6.0,-1.6423,100000.0,-64227.119999999995,,,
2023-05-18,halt_triggered,,,6.0,-1.6423,100000.0,-64227.119999999995,,,
2023-05-19,halt_resumed,,,6.0,-1.6423,100000.0,-64227.119999999995,,,
2023-05-22,halt_triggered,,,6.0,-1.6423,100000.0,-64227.119999999995,,,
2023-05-23,halt_resumed,,,6.0,-1.646,100000.0,-64599.360000000015,,,
2023-05-24,halt_triggered,,,6.0,-1.646,100000.0,-64599.360000000015,,,
2023-05-25,halt_resumed,,,6.0,-1.646,100000.0,-64599.360000000015,,,
2023-05-25,dispersion_cb_triggered_dec128,8.0194,0.056424,,,,,,,
2023-05-26,halt_triggered,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-05-29,halt_resumed,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-05-30,halt_triggered,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-05-31,halt_resumed,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-06-01,halt_triggered,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-06-02,halt_resumed,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-06-05,halt_triggered,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-06-06,halt_resumed,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-06-07,halt_triggered,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-06-08,halt_resumed,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-06-09,halt_triggered,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-06-12,halt_resumed,,,6.0,-1.6561,100000.0,-65608.16,,,
2023-06-13,halt_triggered,,,6.0,-1.6595,100000.0,-65950.6,,,
2023-06-14,halt_resumed,,,6.0,-1.6595,100000.0,-65950.6,,,
2023-06-15,halt_triggered,,,6.0,-1.6595,100000.0,-65950.6,,,
2023-06-16,halt_resumed,,,6.0,-1.6595,100000.0,-65950.6,,,
2023-06-19,halt_triggered,,,6.0,-1.6595,100000.0,-65950.6,,,
2023-06-20,halt_resumed,,,6.0,-1.6595,100000.0,-65950.6,,,
2023-06-21,halt_triggered,,,6.0,-1.6595,100000.0,-65950.6,,,
2023-06-22,halt_resumed,,,6.0,-1.6595,100000.0,-65950.6,,,
2023-06-23,halt_triggered,,,6.0,-1.6595,100000.0,-65950.6,,,
2023-06-26,halt_resumed,,,6.0,-1.6379,100000.0,-63794.22,,,
2023-06-27,halt_triggered,,,6.0,-1.6379,100000.0,-63794.22,,,
2023-06-28,halt_resumed,,,6.0,-1.6379,100000.0,-63794.22,,,
2023-06-29,halt_triggered,,,6.0,-1.648,100000.0,-64801.399999999994,,,
2023-06-30,halt_resumed,,,6.0,-1.648,100000.0,-64801.399999999994,,,
2023-07-03,halt_triggered,,,6.0,-1.648,100000.0,-64801.399999999994,,,
2023-07-04,halt_resumed,,,6.0,-1.648,100000.0,-64801.399999999994,,,
2023-07-05,halt_triggered,,,6.0,-1.648,100000.0,-64801.399999999994,,,
2023-07-06,halt_resumed,,,6.0,-1.651,100000.0,-65097.850000000006,,,
2023-07-07,halt_triggered,,,6.0,-1.651,100000.0,-65097.850000000006,,,
2023-07-10,halt_resumed,,,6.0,-1.651,100000.0,-65097.850000000006,,,
2023-07-11,halt_triggered,,,6.0,-1.651,100000.0,-65097.850000000006,,,
2023-07-12,halt_resumed,,,6.0,-1.6571,100000.0,-65707.14000000001,,,
2023-07-13,halt_triggered,,,6.0,-1.6571,100000.0,-65707.14000000001,,,
2023-07-14,halt_resumed,,,6.0,-1.6571,100000.0,-65707.14000000001,,,
2023-07-17,halt_triggered,,,6.0,-1.6571,100000.0,-65707.14000000001,,,
2023-07-18,halt_resumed,,,6.0,-1.6571,100000.0,-65707.14000000001,,,
2023-07-19,halt_triggered,,,6.0,-1.6571,100000.0,-65707.14000000001,,,
2023-07-20,halt_resumed,,,6.0,-1.6571,100000.0,-65707.14000000001,,,
2023-07-20,dispersion_cb_triggered_dec128,4.9895,0.031694,,,,,,,
2023-07-21,halt_triggered,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-07-24,halt_resumed,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-07-25,halt_triggered,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-07-26,halt_resumed,,,6.0,-1.6608,100000.0,-66082.34,,,
