ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
LCID,bollinger_tight,2023-10-09,long,50.1951,trailing_5pct,-0.1895,False,1,50.1,2023-10-10,neutral,Consumer Discretionary,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,T1c,no,0.0,0.053690499670286544,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,yes,mon,83,unknown,normal_3_5,100_500M,unknown,no_data
SGH,bollinger_tight,2024-04-15,long,18.8532,trailing_5pct,-1.892,False,2,18.4965,2024-04-17,neutral,Unknown,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,unknown,no,0.0,0.0700729849574608,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no_data,mon,76,unknown,normal_3_5,25_100M,unknown,no_data
VET,bollinger_tight,2024-06-17,long,10.9474,trailing_5pct,-0.7253,False,23,10.868,2024-07-10,neutral,Energy,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,unknown,no,0.0,0.03355134552496483,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,13,unknown,normal_3_5,5_25M,unknown,no_data
GNRC,bollinger_tight,2024-07-01,long,134.1312,trailing_5pct,13.1661,True,23,151.791,2024-07-24,neutral,Industrials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1a,no,0.0,0.03399134578681172,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,yes,mon,91,unknown,normal_3_5,100_500M,unknown,no_data
AWK,bollinger_tight,2024-07-01,long,128.2145,trailing_5pct,9.1784,True,52,139.9825,2024-08-22,neutral,Utilities,HIGH,unknown,mid_atr_1_2.5pct,long_ge_11d,win,T1a,no,0.0,0.018433172535087687,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,low_1_5,yes,mon,91,unknown,normal_3_5,100_500M,unknown,no_data
COGT,bollinger_tight,2024-11-18,long,8.9945,trailing_5pct,1.6593,True,8,9.1437,2024-11-26,neutral,Health Care,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,loss,T2,no,0.0,0.07927066540663738,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,yes,mon,43,unknown,compressed_lt_3,5_25M,unknown,no_data
AOS,bollinger_tight,2024-11-18,long,71.6397,trailing_5pct,0.0262,True,29,71.6585,2024-12-17,neutral,Industrials,HIGH,unknown,mid_atr_1_2.5pct,long_ge_11d,loss,T1a,no,0.0,0.020880880294026915,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,43,unknown,compressed_lt_3,25_100M,unknown,no_data
BAM,bollinger_tight,2025-09-02,long,59.0962,trailing_5pct,-5.0,False,6,56.1414,2025-09-08,neutral,Financials,HIGH,unknown,mid_atr_1_2.5pct,long_ge_11d,loss,T2,no,0.0,0.022595361461481448,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,yes,tue,28,unknown,compressed_lt_3,100_500M,unknown,no_data
BHVN,bollinger_tight,2025-11-03,long,14.6555,trailing_5pct,-5.0,False,1,13.9227,2025-11-04,neutral,Health Care,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,unknown,no,0.0,0.08510115656238273,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,58,unknown,normal_3_5,25_100M,unknown,no_data
BHVN,bollinger_tight,2026-01-05,long,9.9779,trailing_5pct,-5.0,False,1,9.479,2026-01-06,neutral,Health Care,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,win,unknown,no,0.0,0.08493771234428087,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,yes,mon,85,unknown,compressed_lt_3,25_100M,unknown,no_data
AOS,bollinger_tight,2025-11-03,long,65.7896,trailing_5pct,-4.1619,False,15,63.0515,2025-11-18,neutral,Industrials,HIGH,unknown,mid_atr_1_2.5pct,long_ge_11d,win,T1a,no,0.0,0.022777156267859967,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,yes,mon,58,unknown,normal_3_5,25_100M,unknown,no_data
CSX,bollinger_tight,2025-09-02,long,32.1797,trailing_5pct,8.2561,True,69,34.8365,2025-11-10,neutral,Industrials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1c,no,0.0,0.028732399618392964,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,mid_6_20,yes,tue,28,unknown,compressed_lt_3,ge_500M,unknown,no_data
