strategy,ticker,entry_date,entry_price,exit_price,exit_date,exit_reason,pnl_pct,win,hold_days,hold_bars_actual,regime,strategy_count,tech_signals,agent_score,confidence_tier,phase
ichimoku_cloud_breakout,GLD,2023-01-05,171.75999450683594,177.82479450683593,2023-01-13,take_profit,3.531,True,15,6,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
ichimoku_cloud_breakout,GLD,2023-01-05,171.75999450683594,177.82479450683593,2023-01-13,take_profit,3.531,True,20,6,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
supertrend_plus_macd,GLD,2023-01-05,171.75999450683594,174.74000549316406,2023-01-10,max_hold,1.735,True,3,3,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
supertrend_plus_macd,GLD,2023-01-05,171.75999450683594,176.63999938964844,2023-01-12,max_hold,2.8412,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
supertrend_plus_macd,GLD,2023-01-05,171.75999450683594,177.82479450683593,2023-01-13,take_profit,3.531,True,10,6,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
supertrend_plus_macd,GLD,2023-01-05,171.75999450683594,177.82479450683593,2023-01-13,take_profit,3.531,True,15,6,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
supertrend_plus_macd,GLD,2023-01-05,171.75999450683594,177.82479450683593,2023-01-13,take_profit,3.531,True,20,6,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
hull_ma_plus_rsi,GLD,2023-01-05,171.75999450683594,174.74000549316406,2023-01-10,max_hold,1.735,True,3,3,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
hull_ma_plus_rsi,GLD,2023-01-05,171.75999450683594,176.63999938964844,2023-01-12,max_hold,2.8412,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
hull_ma_plus_rsi,GLD,2023-01-05,171.75999450683594,177.82479450683593,2023-01-13,take_profit,3.531,True,10,6,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
hull_ma_plus_rsi,GLD,2023-01-05,171.75999450683594,177.82479450683593,2023-01-13,take_profit,3.531,True,15,6,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
hull_ma_plus_rsi,GLD,2023-01-05,171.75999450683594,177.82479450683593,2023-01-13,take_profit,3.531,True,20,6,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
squeeze_breakout,TLT,2023-01-05,90.2634677942961,91.39722442626953,2023-01-10,max_hold,1.2561,True,3,3,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
squeeze_breakout,TLT,2023-01-05,90.2634677942961,94.710693359375,2023-01-12,max_hold,4.9269,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
squeeze_breakout,TLT,2023-01-05,90.2634677942961,94.9551677942961,2023-01-18,take_profit,5.1978,True,10,8,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
squeeze_breakout,TLT,2023-01-05,90.2634677942961,94.9551677942961,2023-01-18,take_profit,5.1978,True,15,8,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
squeeze_breakout,TLT,2023-01-05,90.2634677942961,94.9551677942961,2023-01-18,take_profit,5.1978,True,20,8,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
supertrend_plus_macd,TLT,2023-01-05,90.2634677942961,91.39722442626953,2023-01-10,max_hold,1.2561,True,3,3,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
supertrend_plus_macd,TLT,2023-01-05,90.2634677942961,94.710693359375,2023-01-12,max_hold,4.9269,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
supertrend_plus_macd,TLT,2023-01-05,90.2634677942961,94.9551677942961,2023-01-18,take_profit,5.1978,True,10,8,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
supertrend_plus_macd,TLT,2023-01-05,90.2634677942961,94.9551677942961,2023-01-18,take_profit,5.1978,True,15,8,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
supertrend_plus_macd,TLT,2023-01-05,90.2634677942961,94.9551677942961,2023-01-18,take_profit,5.1978,True,20,8,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
fibonacci_bounce,TLT,2023-01-05,90.2634677942961,91.39722442626953,2023-01-10,max_hold,1.2561,True,3,3,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
fibonacci_bounce,TLT,2023-01-05,90.2634677942961,94.710693359375,2023-01-12,max_hold,4.9269,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
fibonacci_bounce,TLT,2023-01-05,90.2634677942961,94.9551677942961,2023-01-18,take_profit,5.1978,True,10,8,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
fibonacci_bounce,TLT,2023-01-05,90.2634677942961,94.9551677942961,2023-01-18,take_profit,5.1978,True,15,8,rate_rising_2022_2023|strong_bull_2023,3,9,,,phase_1a
